MFR,Model,EmissionsRate,FinalSales,FPT,Type
FMC,EXPEDITION,264.4940476,5189,54.35833333,truck
FMC,MUSTANG,439.950495,3108,49.04166667,car
FMC,NAVIGATOR,264.4940476,976,54.40416667,truck
FMC,MUSTANG,439.950495,581,49.04166667,car
FMC,GRAND MARQUIS,222.175,21102,52.70833333,car
FMC,TOWN CAR,222.175,11151,54.08333333,car
FMC,CROWN VICTORIA,222.175,2033,52.70833333,car
FMC,TOWN CAR,465.2879581,445,54.08333333,car
FMC,F150,433.5121951,36242,66.32083333,truck
FMC,F150,413.3488372,28621,66.32083333,truck
FMC,F150,455.7435897,18855,63.9375,truck
FMC,F150,453.4183673,9404,66.36666667,truck
FMC,MUSTANG,386.3913043,9107,49.04166667,car
FMC,MUSTANG,393.2300885,4877,49.04166667,car
FMC,F150,405.7990868,2866,63.98333333,truck
FMC,EXPLORER,442.1393035,2296,52.15833333,truck
FMC,MOUNTAINEER,442.1393035,616,52.15833333,truck
FMC,EXPLORER,442.1393035,583,59.85833333,truck
FMC,ROUSH,413.3488372,340,49.04166667,car
FMC,EXPLORER,411.4351852,268,59.85833333,truck
FMC,EXPLORER,411.4351852,203,52.15833333,truck
FMC,MOUNTAINEER,411.4351852,55,52.15833333,truck
FMC,ROUSH,388.0786026,55,49.04166667,car
FMC,S80,389.7807018,185,50.41666667,car
FMC,XC90,455.7435897,840,51.60833333,truck
FMC,MUSTANG,359.7975709,21333,49.04166667,car
FMC,EXPLORER,451.1167513,15650,52.15833333,truck
FMC,RANGER,444.35,8528,55.09166667,truck
FMC,RANGER,393.2300885,8103,57.65833333,truck
FMC,EXPLORER,435.6372549,7446,52.15833333,truck
FMC,MUSTANG,343.1274131,2929,49.04166667,car
FMC,EXPLORER,435.6372549,2023,59.85833333,truck
FMC,RANGER,419.1981132,1323,57.65833333,truck
FMC,EXPLORER,451.1167513,1144,59.85833333,truck
FMC,MOUNTAINEER,451.1167513,1140,52.15833333,truck
FMC,MOUNTAINEER,435.6372549,754,52.15833333,truck
FMC,RANGER,400.3153153,321,57.65833333,truck
FMC,MKS,355.48,16362,49.04166667,car
FMC,MKS,370.2916667,9791,49.04166667,car
FMC,FLEX,361.2601626,29752,53.94583333,truck
FMC,EDGE,361.2601626,28506,50.96666667,truck
FMC,TAURUS,323.1636364,22694,49.95833333,car
FMC,EDGE,379.7863248,16238,50.96666667,truck
FMC,MKZ,323.1636364,12545,49.04166667,car
FMC,FLEX,388.0786026,12348,53.94583333,truck
FMC,MKX,379.7863248,5861,51.05833333,truck
FMC,SABLE,323.1636364,5825,49.95833333,car
FMC,MKX,361.2601626,5765,51.05833333,truck
FMC,MKZ,358.3467742,4131,49.04166667,car
FMC,TAURUS,361.2601626,4028,51.65416667,truck
FMC,TAURUS,358.3467742,2400,49.95833333,car
FMC,TAURUS,379.7863248,1181,51.65416667,truck
FMC,SABLE,358.3467742,321,49.95833333,car
FMC,S80,355.48,4995,51.33333333,car
FMC,XC90,429.3236715,3831,51.60833333,truck
FMC,XC70,383.0603448,3152,50.78333333,truck
FMC,XC90,417.2300469,2135,51.60833333,truck
FMC,V70,355.48,996,49.95833333,car
FMC,ESCAPE,345.7976654,39948,47.3,truck
FMC,FUSION,330.3717472,37751,49.04166667,car
FMC,ESCAPE,325.5311355,35330,47.3,truck
FMC,MILAN,330.3717472,7306,49.04166667,car
FMC,MARINER,345.7976654,6650,47.34583333,truck
FMC,MARINER,325.5311355,6283,47.34583333,truck
FMC,FUSION,349.8818898,2745,49.04166667,car
FMC,MILAN,349.8818898,761,49.04166667,car
FMC,S80,379.7863248,2229,51.33333333,car
FMC,XC70,389.7807018,1462,50.78333333,truck
FMC,C70,321.9927536,3926,49.04166667,car
FMC,S60,308.5763889,3106,49.04166667,car
FMC,C30,308.5763889,2887,49.04166667,car
FMC,V50,306.4482759,1866,46.29166667,car
FMC,S60,330.3717472,902,49.04166667,car
FMC,S40,300.2364865,854,47.66666667,car
FMC,C30,301.2542373,806,49.04166667,car
FMC,S40,330.3717472,363,47.66666667,car
FMC,V50,330.3717472,236,46.29166667,car
FMC,S40,308.5763889,200,47.66666667,car
FMC,C70,319.676259,101,49.04166667,car
FMC,V50,308.5763889,3,46.29166667,car
FMC,ESCAPE,290.4248366,41716,47.3,truck
FMC,ESCAPE,316.2633452,12705,47.3,truck
FMC,ESCAPE,201.0633484,11167,47.34583333,truck
FMC,MARINER,292.3355263,8000,47.34583333,truck
FMC,ESCAPE,238.2573727,6913,47.34583333,truck
FMC,MARINER,316.2633452,2367,47.34583333,truck
FMC,MARINER,201.0633484,1337,47.34583333,truck
FMC,ESCAPE,275.9937888,1081,47.3,truck
FMC,MARINER,238.2573727,1045,47.34583333,truck
FMC,S40,305.395189,6180,47.66666667,car
FMC,V50,305.395189,1674,46.29166667,car
FMC,S60,330.3717472,109,49.04166667,car
FMC,FUSION,285.755627,60361,49.04166667,car
FMC,RANGER,325.5311355,24950,51.10416667,truck
FMC,MILAN,285.755627,10444,49.04166667,car
FMC,RANGER,292.3355263,6241,51.10416667,truck
FMC,FUSION,288.538961,2411,49.04166667,car
FMC,MILAN,288.538961,45,49.04166667,car
FMC,FOCUS,238.2573727,136346,47.20833333,car
FMC,FOCUS,242.8142077,11898,47.20833333,car
FUJ,B9 TRIBECA,382.8870554,6806,49.59166667,truck
FUJ,OUTBACK,344.6069612,1122,48.17083333,truck
FUJ,LEGACY,346.8016359,705,47.66666667,car
FUJ,FORESTER,329.2762,75351,47.20833333,truck
FUJ,OUTBACK,329.2762,30333,48.17083333,truck
FUJ,LEGACY,301.6356274,22263,47.66666667,car
FUJ,IMPREZA,302.4651231,14236,45.375,car
FUJ,IMPREZA,302.4651231,13591,45.375,car
FUJ,FORESTER,305.8702865,8901,47.20833333,truck
FUJ,IMPREZA,303.8051709,4539,45.375,car
FUJ,FORESTER,327.2971012,4519,47.20833333,truck
FUJ,OUTBACK,305.8702865,3790,48.17083333,truck
FUJ,IMPREZA,329.7172156,3208,45.375,car
FUJ,IMPREZA,329.7172156,3093,45.375,car
FUJ,IMPREZA,303.8051709,2599,45.375,car
FUJ,LEGACY,331.9165783,2344,47.66666667,car
FUJ,IMPREZA,354.1639268,957,45.375,car
FUJ,OUTBACK,342.098476,666,48.17083333,truck
FUJ,LEGACY,340.1917813,583,47.66666667,car
FUJ,OUTBACK,338.5639889,499,48.17083333,truck
FUJ,LEGACY,301.8025973,271,47.66666667,car
FUJ,IMPREZA,312.100524,194,45.375,car
FUJ,IMPREZA,312.100524,134,45.375,car
FUJ,LEGACY,348.1452753,112,47.66666667,car
GMC,CORVETTE,384.314336,3233,48.125,car
GMC,CORVETTE,401.9611834,7913,48.125,car
GMC,CORVETTE,353.6804737,3215,48.125,car
GMC,CTS,272.0873913,2231,51.79166667,car
GMC,CORVETTE,353.6804737,1286,48.125,car
GMC,ASTRA,252.1578263,981,47.1625,car
GMC,ASTRA,246.8062653,845,47.1625,car
GMC,CTS,348.7806218,477,51.79166667,car
GMC,G8,343.9867159,16486,46.75,car
GMC,IMPALA,398.8260056,4040,50.875,car
GMC,LACROSSE/ALLURE,398.5201794,124,49.95833333,car
GMC,DTS,383.4107029,16566,49.5,car
GMC,STS,385.1404352,2049,46.75,car
GMC,FUN COACH,485.1485689,714,52.25,car
GMC,LUCERNE,383.4107029,684,49.5,car
GMC,XLR,381.8309151,638,48.125,car
GMC,LIMOUSINE,484.7463359,330,49.5,car
GMC,STS,432.5163526,241,51.33333333,car
GMC,XLR,430.7741526,220,46.75,car
GMC,STS,456.0827282,90,51.33333333,car
GMC,GRAND PRIX,323.9765229,23728,51.79166667,car
GMC,IMPALA,191.9438445,21196,50.875,car
GMC,LUCERNE,340.0472936,7339,49.5,car
GMC,G6,385.8460871,1774,49.04166667,car
GMC,LACROSSE/ALLURE,340.0472936,18408,49.95833333,car
GMC,MALIBU,341.8800131,25068,49.04166667,car
GMC,CTS,333.1796216,18962,50.875,car
GMC,CTS,344.8208964,10801,50.875,car
GMC,CTS,354.7166498,10268,50.875,car
GMC,G8,343.9867159,8089,46.75,car
GMC,CTS,436.0776078,7979,50.875,car
GMC,AURA,303.6484279,5561,49.04166667,car
GMC,G6,341.8800131,3553,49.04166667,car
GMC,STS,337.6725029,2646,51.33333333,car
GMC,STS,344.8208964,2213,51.33333333,car
GMC,CTS,329.1420529,124,50.875,car
GMC,CTS,360.1110278,84,50.875,car
GMC,IMPALA,186.8587048,113321,50.875,car
GMC,IMPALA,318.496219,45212,50.875,car
GMC,AURA,303.6484279,24720,49.04166667,car
GMC,G6,344.3038956,10758,49.95833333,car
GMC,G6,326.4015396,10335,49.04166667,car
GMC,G6,339.4874263,3038,49.95833333,car
GMC,MALIBU,326.4015396,2833,49.04166667,car
GMC,CLASSIC,314.6720676,2397,51.79166667,car
GMC,SAAB 9-3,390.6081743,267,48.125,car
GMC,SAAB 9-3,390.6081743,131,48.125,car
GMC,SAAB 9-3,338.4466567,84,48.125,car
GMC,SAAB 9-3,359.2013257,81,48.125,car
GMC,SAAB 9-3,390.6081743,25,47.20833333,car
GMC,MALIBU,303.6484279,94866,49.04166667,car
GMC,MALIBU,262.0915418,46524,49.04166667,car
GMC,G6,303.6484279,38588,49.04166667,car
GMC,AURA,318.496219,29355,49.95833333,car
GMC,G6,303.6484279,6460,49.04166667,car
GMC,MALIBU,267.1649015,5125,49.04166667,car
GMC,SOLSTICE,334.4976325,1807,47.20833333,car
GMC,SKY,334.4976325,1447,49.04166667,car
GMC,AURA,267.1649015,556,49.95833333,car
GMC,SOLSTICE,322.0300904,512,47.20833333,car
GMC,SKY,322.0300904,418,49.04166667,car
GMC,VIBE,245.4958812,26502,46.75,car
GMC,VIBE,231.7243609,1918,46.75,car
GMC,SAAB 9-2X,338.5304571,569,46.75,car
GMC,SAAB 9-5,338.5304571,128,46.75,car
GMC,SAAB 9-2X,319.6141757,25,46.75,car
GMC,SAAB 9-5,319.6141757,10,46.75,car
GMC,COBALT,265.1110621,122858,47.20833333,car
GMC,G5/PURSUIT,268.5462182,15966,49.04166667,car
GMC,COBALT,247.85183,15251,47.20833333,car
GMC,G5/PURSUIT,269.9025411,2140,47.20833333,car
GMC,G5/PURSUIT,265.1094803,2020,49.04166667,car
GMC,G5/PURSUIT,268.5462182,375,50.875,car
GMC,COBALT,269.9025411,304,47.20833333,car
GMC,G5/PURSUIT,241.0615715,122,49.04166667,car
GMC,COBALT,269.3895615,3175,47.20833333,car
GMC,SAAB 9-3,319.0805654,2284,48.125,car
GMC,SKY,318.176936,1406,49.04166667,car
GMC,SOLSTICE,318.176936,1148,49.04166667,car
GMC,SKY,302.9662534,807,49.04166667,car
GMC,SOLSTICE,302.9662534,735,48.125,car
GMC,SAAB 9-3,338.4466567,494,48.125,car
GMC,SAAB 9-3,359.2013257,404,48.125,car
GMC,SAAB 9-3,338.4466567,303,48.125,car
GMC,SAAB 9-3,390.6081743,247,48.125,car
GMC,SAAB 9-3,390.6081743,90,47.20833333,car
GMC,SAAB 9-3,299.4827209,61,48.125,car
GMC,SAAB 9-3,299.4827209,54,48.125,car
GMC,SAAB 9-3,316.0114357,45,47.20833333,car
GMC,SAAB 9-2X,359.2013257,23,46.75,car
GMC,VIBE,245.4958812,17200,46.75,car
GMC,VIBE,245.4958812,8870,46.75,car
GMC,VIBE,231.7243609,2240,46.75,car
GMC,ASTRA,252.1578263,5,47.1625,car
GMC,ASTRA,246.8062653,1,47.1625,car
GMC,AVEO,258.9980474,28051,48.125,car
GMC,AVEO,258.9980474,18656,47.66666667,car
GMC,AVEO,248.0552214,7969,47.66666667,car
GMC,AVEO,258.9980474,5251,47.66666667,car
GMC,AVEO,248.0552214,3763,48.125,car
GMC,AVEO,248.0552214,986,47.66666667,car
HON,MDX,402.1266968,34540,49.6375,truck
HON,ACURA,347.1484375,6805,49.5,car
HON,ACURA,373.4033613,2670,52.70833333,car
HON,PILOT,374.978903,56017,50.05,truck
HON,ACCORD,303.3105802,55686,49.04166667,car
HON,ODYSSEY,343.1274131,49478,54.12916667,truck
